id_asegurado,segmento,antiguedad,ciudad,num_polizas,reclamos_12m,mora_actual,score_cliente_simulado
ASEG-000001,premium,3,Guayaquil,3,3,False,71
ASEG-000003,retail,6,Quito,1,1,False,70
ASEG-000004,premium,3,Quito,3,3,False,71
ASEG-000005,retail,4,Quito,2,2,False,69
ASEG-000006,retail,3,Quito,1,1,False,61
ASEG-000007,retail,1,Quito,1,1,False,55
ASEG-000008,retail,1,Cuenca,2,2,False,60
ASEG-000009,retail,3,Quito,2,2,False,66
ASEG-000010,retail,4,Quito,2,2,False,69
ASEG-000011,retail,1,Quito,1,1,False,55
ASEG-000012,retail,2,Manta,2,2,False,63
ASEG-000013,retail,1,Guayaquil,1,1,False,55
ASEG-000014,premium,2,Quito,3,3,False,68
ASEG-000015,premium,3,Cuenca,3,3,False,71
ASEG-000016,retail,3,Guayaquil,2,2,False,66
ASEG-000017,retail,1,Manta,1,1,False,55
ASEG-000018,premium,3,Quito,3,3,False,71
ASEG-000019,retail,1,Quito,1,1,False,55
ASEG-000020,retail,2,Guayaquil,2,2,False,63
ASEG-000022,premium,4,Quito,4,4,True,79
ASEG-000023,retail,1,Guayaquil,1,1,False,55
ASEG-000026,premium,2,Manta,4,4,True,73
ASEG-000028,retail,1,Quito,1,1,False,55
ASEG-000029,retail,3,Guayaquil,2,2,False,66
ASEG-000030,retail,1,Cuenca,1,1,False,55
ASEG-000031,premium,4,Cuenca,4,4,True,79
ASEG-000032,retail,1,Manta,2,2,False,60
ASEG-000033,premium,4,Guayaquil,3,3,False,74
ASEG-000034,retail,3,Guayaquil,2,2,False,66
ASEG-000035,retail,2,Guayaquil,2,2,False,63
ASEG-000036,premium,4,Quito,3,3,False,74
ASEG-000037,premium,3,Quito,5,5,True,81
ASEG-000038,retail,1,Quito,2,2,False,60
ASEG-000039,premium,2,Manta,3,3,False,68
ASEG-000040,retail,1,Guayaquil,1,1,False,55
ASEG-000041,retail,5,Manta,2,2,False,72
ASEG-000042,premium,2,Manta,4,4,True,73
ASEG-000043,premium,2,Cuenca,3,3,False,68
ASEG-000044,retail,4,Guayaquil,2,2,False,69
ASEG-000045,retail,3,Cuenca,1,1,False,61
ASEG-000046,premium,3,Guayaquil,3,3,False,71
ASEG-000047,premium,2,Cuenca,3,3,False,68
ASEG-000048,premium,3,Guayaquil,3,3,False,71
ASEG-000049,premium,1,Manta,3,3,False,65
ASEG-000050,retail,2,Quito,2,2,False,63
ASEG-000051,premium,3,Quito,4,4,True,76
ASEG-000052,retail,3,Manta,2,2,False,66
ASEG-000053,premium,2,Manta,4,4,True,73
ASEG-000054,retail,2,Cuenca,2,2,False,63
ASEG-000055,premium,4,Quito,4,4,True,79
ASEG-000056,premium,3,Cuenca,4,4,True,76
ASEG-000058,corporativo,3,Guayaquil,6,6,True,86
ASEG-000059,retail,2,Cuenca,2,2,False,63
ASEG-000060,retail,2,Manta,2,2,False,63
ASEG-000061,premium,3,Quito,4,4,True,76
ASEG-000062,retail,1,Cuenca,1,1,False,55
ASEG-000064,retail,1,Manta,1,1,False,55
ASEG-000065,retail,1,Guayaquil,2,2,False,60
ASEG-000066,retail,1,Quito,1,1,False,55
ASEG-000067,premium,5,Guayaquil,3,3,False,77
ASEG-000069,premium,2,Cuenca,3,3,False,68
ASEG-000070,premium,2,Quito,3,3,False,68
ASEG-000071,premium,3,Quito,3,3,False,71
ASEG-000073,premium,3,Quito,4,4,True,76
ASEG-000074,retail,4,Manta,2,2,False,69
ASEG-000075,premium,3,Manta,3,3,False,71
ASEG-000077,retail,1,Guayaquil,1,1,False,55
ASEG-000078,premium,4,Guayaquil,5,5,True,84
ASEG-000079,retail,3,Quito,1,1,False,61
ASEG-000080,retail,2,Quito,2,2,False,63
ASEG-000081,corporativo,3,Guayaquil,6,6,True,86
ASEG-000082,retail,4,Guayaquil,2,2,False,69
