id_proveedor,tipo,ciudad,reclamos_asociados,monto_promedio_reclamado,pct_casos_observados,antiguedad
PROV-010194364500,taller,Guayaquil,215,12652.5,20.0,10
PROV-010272043000,taller,Quito,213,14161.75,19.72,10
PROV-010279796600,taller,Cuenca,236,14880.2,19.92,10
PROV-010389289900,taller,Guayaquil,263,13778.8,19.77,10
PROV-010602505900,taller,Guayaquil,221,13843.45,19.91,10
PROV-019041863400,taller,Quito,215,13089.2,20.0,10
PROV-029151828100,taller,Guayaquil,245,13355.09,20.0,10
PROV-050231515300,taller,Guayaquil,277,13272.21,19.86,10
PROV-050262161800,taller,Quito,225,13429.53,20.0,10
PROV-050398871900,taller,Quito,219,10974.72,19.63,10
PROV-059174376700,taller,Quito,219,15157.79,19.63,10
PROV-059174461500,taller,Manta,246,14543.25,19.92,10
PROV-059175573000,taller,Manta,235,14454.73,20.0,10
PROV-060195086800,taller,Manta,225,13115.92,20.0,10
PROV-060246074300,taller,Quito,218,14504.16,19.72,10
PROV-060279244200,taller,Quito,234,12462.36,19.66,10
PROV-060424109100,taller,Quito,203,13199.33,19.7,10
PROV-069173922800,taller,Guayaquil,248,14604.31,19.76,10
PROV-069176243200,taller,Guayaquil,235,13391.34,20.0,10
PROV-070458126300,taller,Cuenca,234,14059.19,19.66,10
PROV-070504768600,taller,Quito,242,14180.75,19.83,10
PROV-070527882800,taller,Manta,229,14450.39,19.65,10
PROV-079171917800,taller,Manta,243,12891.93,19.75,10
PROV-089004597900,taller,Cuenca,230,14132.76,20.0,10
PROV-091101637600,taller,Cuenca,255,13924.16,20.0,10
PROV-092445812800,taller,Guayaquil,259,13886.31,19.69,10
PROV-092519571100,taller,Cuenca,221,14662.86,19.91,10
PROV-092860687000,taller,Guayaquil,204,14259.48,19.61,10
PROV-096477302200,taller,Guayaquil,247,13313.25,19.84,10
PROV-099138499500,taller,Guayaquil,234,13673.82,19.66,10
PROV-099228471400,taller,Manta,229,12647.45,19.65,10
PROV-099239979100,taller,Cuenca,227,14580.67,19.82,10
PROV-099248269900,taller,Guayaquil,211,12979.53,19.91,10
PROV-099255474600,taller,Guayaquil,233,14358.63,19.74,10
PROV-099263892300,taller,Quito,214,14461.46,19.63,10
PROV-099280167000,taller,Quito,217,13419.38,19.82,10
PROV-099281284200,taller,Guayaquil,226,13732.94,19.91,10
PROV-099314538600,taller,Cuenca,220,15548.96,20.0,10
PROV-099329177300,taller,Quito,238,15462.91,19.75,10
PROV-099335205500,taller,Quito,212,15415.91,19.81,10
PROV-099336853300,taller,Cuenca,192,14010.71,19.79,10
PROV-109177043800,taller,Quito,226,15290.06,19.91,10
PROV-110059718400,taller,Quito,494,13129.78,19.84,10
PROV-110199455400,taller,Quito,232,13692.01,19.83,10
PROV-110382122700,taller,Guayaquil,244,14281.84,19.67,10
PROV-110394579400,taller,Guayaquil,207,13231.38,19.81,10
PROV-110470770600,taller,Cuenca,246,14628.21,19.92,10
PROV-119173386600,taller,Guayaquil,463,14527.17,19.87,10
PROV-119174671200,taller,Guayaquil,217,15363.99,19.82,10
PROV-119179442300,taller,Quito,216,11564.81,19.91,10
PROV-1191794423001,taller,Guayaquil,1,5763.5,0.0,1
PROV-150077184300,taller,Guayaquil,225,13711.3,20.0,10
PROV-159171709600,taller,Cuenca,228,12401.61,19.74,10
PROV-160046104800,taller,Cuenca,207,12741.09,19.81,10
PROV-160082084700,taller,Quito,207,13833.9,19.81,10
PROV-169171264400,taller,Quito,231,12498.04,19.91,10
PROV-170250640100,taller,Manta,218,14980.52,19.72,10
PROV-170370955800,taller,Manta,235,13649.72,20.0,10
PROV-170491249000,taller,Manta,234,11940.57,19.66,10
PROV-170493094800,taller,Quito,238,12740.81,19.75,10
PROV-1704930948001,taller,Guayaquil,1,4471.55,0.0,1
PROV-170777309700,taller,Guayaquil,231,15462.46,19.91,10
PROV-170889743200,taller,Quito,246,14421.74,19.92,10
PROV-1708897432001,taller,Quito,1,3268.18,0.0,1
PROV-170972199500,taller,Guayaquil,241,14220.21,19.92,10
PROV-171136224200,taller,Guayaquil,245,15687.86,20.0,10
PROV-171202215900,taller,Guayaquil,243,13021.64,19.75,10
PROV-171425512000,taller,Quito,221,15421.75,19.91,10
PROV-171486071300,taller,Cuenca,218,15006.93,19.72,10
PROV-171698975900,taller,Manta,260,14268.98,20.0,10
PROV-171730636700,taller,Manta,247,15418.86,19.84,10
PROV-171905213400,taller,Quito,216,15883.59,19.91,10
PROV-171928791200,taller,Cuenca,211,13724.92,19.91,10
PROV-172003735500,taller,Quito,226,15571.01,19.91,10
PROV-172071619800,taller,Quito,202,12358.49,19.8,10
PROV-172185642300,taller,Manta,242,13175.96,19.83,10
PROV-172454748200,taller,Manta,205,12071.15,20.0,10
PROV-172695787900,taller,Cuenca,216,15116.99,19.91,10
PROV-179081934500,taller,Quito,242,14406.47,19.83,10
PROV-179096541400,taller,Guayaquil,215,13526.06,20.0,10
PROV-179098414100,taller,Cuenca,237,13311.36,19.83,10
PROV-179121729200,taller,Guayaquil,257,13987.82,19.84,10
PROV-179134993800,taller,Cuenca,234,13537.04,19.66,10
PROV-179198629600,taller,Guayaquil,236,14522.11,19.92,10
PROV-179203167200,taller,Cuenca,224,13530.97,19.64,10
PROV-1792031672001,taller,Quito,1,3317.15,0.0,1
PROV-179213680600,taller,Manta,229,12570.99,19.65,10
PROV-179214523600,taller,Cuenca,213,11653.11,19.72,10
PROV-179219205600,taller,Cuenca,218,13998.79,19.72,10
PROV-179234868400,taller,Manta,233,12570.3,19.74,10
PROV-179237002700,taller,Guayaquil,429,14140.86,19.81,10
PROV-179257379300,taller,Guayaquil,230,12254.82,20.0,10
PROV-179266972300,taller,Quito,224,13538.51,19.64,10
PROV-179277567100,taller,Quito,234,16193.89,19.66,10
PROV-179280618600,taller,Manta,259,13681.21,19.69,10
PROV-179284871700,taller,Manta,221,14449.37,19.91,10
PROV-179291086200,taller,Quito,232,13986.14,19.83,10
PROV-179292885000,taller,Guayaquil,240,14538.92,20.0,10
PROV-179296758900,taller,Guayaquil,480,13891.2,20.0,10
