id_siniestro,id_poliza,id_asegurado,ramo,cobertura,ciudad,id_proveedor,beneficiario,fecha_inicio_poliza,fecha_fin_poliza,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,suma_asegurada,descripcion,documentos_completos,documentos_inconsistentes,historial_siniestros_asegurado,etiqueta_fraude_simulada,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,id_vehiculo,placa_hash,marca,modelo,anio,tipo_evento,tipo_impacto,tercero_identificado,reporte_policial,hay_testigos,ocurrio_noche,ocurrio_fin_semana,zona_alta_siniestralidad,historial_siniestros_vehiculo,taller,conductor_recurrente,monto_pagado,estado,sucursal,chasis_hash,motor_hash,supplier_ruc,supplier_risk_signal_score,supplier_risk_band,lista_restrictiva_sercop,provincia,canton,data_source_lineage
SIN-000001,POL-04932,ASEG-000435,vehiculos,robo,Guayaquil,PROV-171202215900,PROV-RUC-1712022159001,2018-07-08,2019-03-28,2019-04-13,2019-04-17,15453.73,12237.21,14684.65,Caso crítico demo 1: siniestro de alto riesgo con patrón repetido en Guayaquil.,No,True,3,1,1,-16,9,,,Toyota,Hilux,2010.0,robo,posterior,False,True,True,False,False,True,3,,True,1254.25,Liquidado,Guayaquil,N-000001,SIN-00,1712022159001,18.0,verde,True,GUAYAS,Guayaquil,synthetic+sercop+ocds+ecu911+inec
SIN-000002,POL-01764,ASEG-005515,vehiculos,choque,Quito,PROV-0993145386001,PROV-RUC-0993145386001,2024-11-21,2025-12-04,2025-02-10,2025-02-14,3317.15,2764.7,3317.64,Caso crítico demo 2: proveedor en lista restrictiva SERCOP en Quito.,No,True,4,1,2,297,10,ASEG-005515,000002,Hyundai,Accent,2013.0,choque,posterior,False,False,True,False,False,True,4,PROV-RUC-1714255120001,True,2403.35,Liquidado,Quito,N-000002,SIN-00,0993145386001,18.0,verde,True,PICHINCHA,Quito,synthetic+sercop+ocds+ecu911+inec
SIN-000003,POL-05150,ASEG-010134,vehiculos,robo,Cuenca,PROV-010279796600,PROV-RUC-0102797966001,2019-06-11,2020-09-02,2020-02-01,2020-02-02,1029.25,853.61,1024.33,Caso crítico demo 3: siniestro de alto riesgo con patrón repetido en Cuenca.,No,True,5,1,3,214,11,,,,,,,posterior,False,False,True,False,False,True,3,,True,37.09,Pago Total,Cuenca,,,102797966001,18.0,verde,False,AZUAY,Cuenca,synthetic+sercop+ocds+ecu911+inec
SIN-000004,POL-02989,ASEG-002665,vehiculos,choque,Manta,PROV-170370955800,PROV-RUC-1703709558001,2026-07-29,2026-11-16,2026-11-25,2026-12-09,12674.21,12445.07,14934.08,Caso crítico demo 4: siniestro de alto riesgo con patrón repetido en Manta.,No,True,3,1,1,-9,12,,,,,,,posterior,False,False,True,False,False,True,4,,True,12261.15,Reserva,Manta,,,1703709558001,18.0,verde,True,MANABI,Manta,synthetic+sercop+ocds+ecu911+inec
SIN-000005,POL-01800,ASEG-011217,vehiculos,robo,Guayaquil,PROV-1711362242001,PROV-RUC-1711362242001,2026-07-12,2026-12-07,2026-11-14,2026-11-26,4471.55,4170.79,5004.95,Caso crítico demo 5: proveedor en lista restrictiva SERCOP en Guayaquil.,No,True,4,1,2,23,13,ASEG-011217,000005,Kia,Rio,2012.0,choque,posterior,False,False,True,False,False,True,3,PROV-RUC-1717306367001,True,713.78,Reserva,Guayaquil,N-000005,SIN-00,1711362242001,18.0,verde,True,GUAYAS,Guayaquil,synthetic+sercop+ocds+ecu911+inec
SIN-000006,POL-03242,ASEG-010533,vehiculos,choque,Quito,PROV-060424109100,PROV-RUC-0604241091001,2018-07-26,2020-03-14,2019-05-12,2019-05-18,48398.77,37260.11,44712.13,Caso crítico demo 6: siniestro de alto riesgo con patrón repetido en Quito.,No,True,5,1,3,307,14,,,,,,,posterior,False,False,True,False,False,True,4,,True,34023.55,Pago Parcial,Quito,,,604241091001,18.0,verde,False,PICHINCHA,Quito,synthetic+sercop+ocds+ecu911+inec
SIN-000007,POL-00899,ASEG-002505,vehiculos,robo,Guayaquil,PROV-050231515300,PROV-RUC-0502315153001,2024-10-15,2025-06-09,2025-04-18,2025-04-18,16863.9,14815.44,17778.53,Caso crítico demo 7: siniestro de alto riesgo con patrón repetido en Guayaquil.,No,True,3,1,1,52,15,ASEG-002505,000007,Toyota,Hilux,2020.0,robo,posterior,False,True,True,False,False,True,3,PROV-RUC-0502315153001,True,8645.3,Liquidado,Guayaquil,N-000007,SIN-00,502315153001,18.0,verde,False,GUAYAS,Guayaquil,synthetic+sercop+ocds+ecu911+inec
SIN-000008,POL-04399,ASEG-012303,vehiculos,choque,Quito,PROV-0704581263001,PROV-RUC-0704581263001,2018-12-09,2019-07-25,2019-09-18,2019-09-22,3268.18,2910.04,3492.05,Caso crítico demo 8: proveedor en lista restrictiva SERCOP en Quito.,No,True,4,1,2,-55,9,ASEG-012303,000008,Renault,Logan,2011.0,choque,posterior,False,False,True,False,False,True,4,PROV-RUC-0993291773001,True,731.63,Pago Total,Quito,N-000008,SIN-00,0704581263001,18.0,verde,True,PICHINCHA,Quito,synthetic+sercop+ocds+ecu911+inec
SIN-000009,POL-05235,ASEG-008318,vehiculos,robo,Cuenca,PROV-179098414100,PROV-RUC-1790984141001,2022-06-13,2023-05-09,2022-10-25,2022-11-03,1024.88,908.16,1089.79,Caso crítico demo 9: siniestro de alto riesgo con patrón repetido en Cuenca.,No,True,5,1,3,196,10,,,,,,,posterior,False,False,True,False,False,True,3,,True,866.22,Cierre Sin Consecuencia,Cuenca,,,1790984141001,18.0,verde,True,AZUAY,Cuenca,synthetic+sercop+ocds+ecu911+inec
SIN-000010,POL-02974,ASEG-005039,vehiculos,choque,Manta,PROV-060195086800,PROV-RUC-0601950868001,2023-03-12,2023-11-13,2023-03-12,2023-03-12,10010.81,9846.51,11815.81,Caso crítico demo 10: siniestro de alto riesgo con patrón repetido en Manta.,No,True,3,1,1,246,11,,,,,,,posterior,False,False,False,False,False,True,4,,True,5222.13,Reserva,Manta,,,601950868001,18.0,verde,False,MANABI,Manta,synthetic+sercop+ocds+ecu911+inec
SIN-000011,POL-04970,ASEG-006933,vehiculos,robo,Guayaquil,PROV-1714255120001,PROV-RUC-1714255120001,2019-09-16,2019-11-24,2019-11-19,2019-11-29,5763.5,4442.3,5330.76,Caso crítico demo 11: proveedor en lista restrictiva SERCOP en Guayaquil.,No,True,4,1,2,5,12,ASEG-006933,000011,Mazda,3,2010.0,choque,posterior,False,False,True,False,False,True,3,PROV-RUC-1792806186001,True,3378.82,Liquidado,Guayaquil,N-000011,SIN-00,1714255120001,18.0,verde,True,GUAYAS,Guayaquil,synthetic+sercop+ocds+ecu911+inec
SIN-000012,POL-00525,ASEG-005540,vehiculos,choque,Quito,PROV-179319397500,PROV-RUC-1793193975001,2026-02-14,2027-04-18,2026-09-26,2026-09-26,47585.36,49895.38,59874.46,Caso crítico demo 12: siniestro de alto riesgo con patrón repetido en Quito.,No,True,5,1,3,204,13,,,,,,,posterior,False,False,False,False,False,True,4,,True,32425.91,Liquidado,Quito,,,1793193975001,18.0,verde,True,PICHINCHA,Quito,synthetic+sercop+ocds+ecu911+inec
SIN-000013,POL-01084,ASEG-011852,vehiculos,robo,Guayaquil,PROV-069173922800,PROV-RUC-0691739228001,2021-06-05,2021-10-08,2021-06-21,2021-07-05,18788.37,14423.12,17307.74,Vehículo impactado por tercero no identificado sin evidencia de cámaras en Guayaquil.,Sí,False,2,1,16,109,14,ASEG-011852,000013,Toyota,Corolla,2011.0,robo,posterior,True,True,True,False,False,True,2,PROV-RUC-0691739228001,True,972.12,Liquidado,Guayaquil,N-000013,SIN-00,691739228001,18.0,verde,False,GUAYAS,Guayaquil,synthetic+sercop+ocds+ecu911+inec
SIN-000014,POL-05973,ASEG-000888,vehiculos,choque,Quito,PROV-170370955800,PROV-RUC-1703709558001,2021-02-14,2022-01-21,2021-09-22,2021-09-28,4561.98,3682.08,4418.5,Reporte de robo tardío con inconsistencias en factura y denuncia en Quito.,Sí,False,0,0,220,121,6,ASEG-000888,000014,Kia,Rio,2013.0,choque,posterior,True,False,True,False,False,True,0,PROV-RUC-1703709558001,False,356.91,Cierre Sin Consecuencia,Quito,N-000014,SIN-00,1703709558001,18.0,verde,True,PICHINCHA,Quito,synthetic+sercop+ocds+ecu911+inec
SIN-000015,POL-02047,ASEG-001236,salud,atencion_medica,Cuenca,PROV-171486071300,PROV-RUC-1714860713001,2025-11-24,2026-05-08,2026-03-31,2026-04-09,1005.22,856.24,1027.49,Reclamo recurrente con narrativa similar y proveedor observado en Cuenca.,Sí,False,1,0,127,38,9,,,,,,,posterior,True,False,True,False,False,True,0,,False,737.8,Pago Total,Cuenca,,,1714860713001,18.0,verde,True,AZUAY,Cuenca,synthetic+sercop+ocds+ecu911+inec
SIN-000016,POL-03979,ASEG-007887,hogar,incendio,Manta,PROV-179213680600,PROV-RUC-1792136806001,2025-01-16,2026-01-23,2025-03-04,2025-03-15,12358.8,11273.41,13528.09,Vehículo impactado por tercero no identificado sin evidencia de cámaras en Manta.,Sí,False,2,1,47,325,11,,,,,,,posterior,True,False,False,False,False,True,0,,True,166.37,Pago Parcial,Manta,,,1792136806001,18.0,verde,True,MANABI,Manta,synthetic+sercop+ocds+ecu911+inec
SIN-000017,POL-05886,ASEG-007974,vehiculos,choque,Guayaquil,PROV-179292885000,PROV-RUC-1792928850001,2020-03-18,2021-01-30,2020-11-05,2020-11-05,6885.0,5711.53,6853.84,Reporte de robo tardío con inconsistencias en factura y denuncia en Guayaquil.,Sí,False,0,0,232,86,0,ASEG-007974,000017,Renault,Logan,2019.0,choque,posterior,False,False,False,False,False,True,0,PROV-RUC-1792928850001,False,4478.24,Pago Parcial,Guayaquil,N-000017,SIN-00,1792928850001,18.0,verde,True,GUAYAS,Guayaquil,synthetic+sercop+ocds+ecu911+inec
SIN-000018,POL-01290,ASEG-000932,vida,fallecimiento,Quito,PROV-060279244200,PROV-RUC-0602792442001,2018-11-02,2020-02-28,2019-08-28,2019-09-09,34124.71,33250.87,39901.04,Beneficiario aparece en varios casos observados.,Sí,False,0,0,299,184,12,,,,,,,posterior,True,False,True,False,False,True,0,,False,1900.8,Reserva,Quito,,,602792442001,18.0,verde,False,PICHINCHA,Quito,synthetic+sercop+ocds+ecu911+inec
SIN-000019,POL-04631,ASEG-008566,vehiculos,robo,Guayaquil,PROV-179257379300,PROV-RUC-1792573793001,2018-12-21,2019-12-13,2019-10-08,2019-10-08,15068.0,12364.22,14837.06,Reclamo recurrente con narrativa similar y proveedor observado en Guayaquil.,Sí,False,0,0,291,66,0,ASEG-008566,000019,Toyota,Corolla,2018.0,robo,posterior,True,True,True,False,False,True,0,PROV-RUC-1792573793001,False,1482.3,Pago Parcial,Guayaquil,N-000019,SIN-00,1792573793001,18.0,verde,True,GUAYAS,Guayaquil,synthetic+sercop+ocds+ecu911+inec
SIN-000020,POL-05089,ASEG-009225,vehiculos,choque,Quito,PROV-060246074300,PROV-RUC-0602460743001,2022-01-30,2023-05-30,2022-07-10,2022-07-14,4265.88,4059.01,4870.81,Vehículo impactado por tercero no identificado sin evidencia de cámaras en Quito.,No,True,2,0,161,324,4,ASEG-009225,000020,Kia,Rio,2021.0,choque,posterior,True,False,True,False,False,True,2,PROV-RUC-0602460743001,True,1217.69,Reserva,Quito,N-000020,SIN-00,602460743001,18.0,verde,False,PICHINCHA,Quito,synthetic+sercop+ocds+ecu911+inec
SIN-000021,POL-05358,ASEG-008667,generales,danio,Cuenca,PROV-160046104800,PROV-RUC-1600461048001,2024-02-27,2024-11-27,2024-09-03,2024-09-06,1201.5,1218.63,1462.36,Sin señales relevantes de riesgo.,Sí,False,2,0,189,85,3,,,,,,,posterior,True,False,True,False,False,True,0,,False,1071.51,Liquidado,Cuenca,,,1600461048001,18.0,verde,True,AZUAY,Cuenca,synthetic+sercop+ocds+ecu911+inec
SIN-000022,POL-02309,ASEG-009910,hogar,incendio,Manta,PROV-171698975900,PROV-RUC-1716989759001,2025-01-21,2025-03-15,2025-03-21,2025-04-04,8828.66,9108.34,10930.01,Señales moderadas; revisar documentación de inspección.,Sí,False,3,1,59,-6,14,,,,,,,posterior,True,False,False,False,False,True,0,,True,1223.17,Pago Parcial,Manta,,,1716989759001,18.0,verde,True,MANABI,Manta,synthetic+sercop+ocds+ecu911+inec
SIN-000023,POL-01072,ASEG-010439,vehiculos,choque,Guayaquil,PROV-060246074300,PROV-RUC-0602460743001,2026-01-15,2026-01-28,2026-02-10,2026-02-19,4037.39,3332.2,3998.64,Reporte de robo tardío con inconsistencias en factura y denuncia en Guayaquil.,Sí,False,0,1,26,-13,9,ASEG-010439,000023,Renault,Logan,2016.0,choque,posterior,True,False,True,False,False,True,0,PROV-RUC-0602460743001,False,3026.17,Pago Total,Guayaquil,N-000023,SIN-00,602460743001,18.0,verde,False,GUAYAS,Guayaquil,synthetic+sercop+ocds+ecu911+inec
SIN-000024,POL-04772,ASEG-009053,vida,fallecimiento,Quito,PROV-050398871900,PROV-RUC-0503988719001,2022-12-27,2023-12-31,2023-12-15,2023-12-15,35087.49,26417.4,31700.88,Reclamo recurrente con narrativa similar y proveedor observado en Quito.,Sí,False,0,0,353,16,0,,,,,,,posterior,True,False,False,False,False,True,0,,False,1987.75,Reserva,Quito,,,503988719001,18.0,verde,False,PICHINCHA,Quito,synthetic+sercop+ocds+ecu911+inec
