id_documento,id_siniestro,tipo_documento,entregado,legible,fecha_emision,inconsistencia_detectada,observacion
DOC-SIN-000001-01,SIN-000001,denuncia,True,False,2019-04-17,False,Documento pendiente de revisión
DOC-SIN-000001-02,SIN-000001,factura,False,False,2019-04-17,True,Documento pendiente de revisión
DOC-SIN-000002-01,SIN-000002,denuncia,True,False,2025-02-14,False,Documento pendiente de revisión
DOC-SIN-000002-02,SIN-000002,factura,False,False,2025-02-14,True,Documento pendiente de revisión
DOC-SIN-000003-01,SIN-000003,denuncia,True,False,2020-02-02,False,Documento pendiente de revisión
DOC-SIN-000003-02,SIN-000003,factura,False,False,2020-02-02,True,Documento pendiente de revisión
DOC-SIN-000004-01,SIN-000004,denuncia,True,False,2026-12-09,False,Documento pendiente de revisión
DOC-SIN-000004-02,SIN-000004,factura,False,False,2026-12-09,True,Documento pendiente de revisión
DOC-SIN-000005-01,SIN-000005,denuncia,True,False,2026-11-26,False,Documento pendiente de revisión
DOC-SIN-000005-02,SIN-000005,factura,False,False,2026-11-26,True,Documento pendiente de revisión
DOC-SIN-000006-01,SIN-000006,denuncia,True,False,2019-05-18,False,Documento pendiente de revisión
DOC-SIN-000006-02,SIN-000006,factura,False,False,2019-05-18,True,Documento pendiente de revisión
DOC-SIN-000007-01,SIN-000007,denuncia,True,False,2025-04-18,False,Documento pendiente de revisión
DOC-SIN-000007-02,SIN-000007,factura,False,False,2025-04-18,True,Documento pendiente de revisión
DOC-SIN-000008-01,SIN-000008,denuncia,True,False,2019-09-22,False,Documento pendiente de revisión
DOC-SIN-000008-02,SIN-000008,factura,False,False,2019-09-22,True,Documento pendiente de revisión
DOC-SIN-000009-01,SIN-000009,denuncia,True,False,2022-11-03,False,Documento pendiente de revisión
DOC-SIN-000009-02,SIN-000009,factura,False,False,2022-11-03,True,Documento pendiente de revisión
DOC-SIN-000010-01,SIN-000010,denuncia,True,False,2023-03-12,False,Documento pendiente de revisión
DOC-SIN-000010-02,SIN-000010,factura,False,False,2023-03-12,True,Documento pendiente de revisión
DOC-SIN-000011-01,SIN-000011,denuncia,True,False,2019-11-29,False,Documento pendiente de revisión
DOC-SIN-000011-02,SIN-000011,factura,False,False,2019-11-29,True,Documento pendiente de revisión
DOC-SIN-000012-01,SIN-000012,denuncia,True,False,2026-09-26,False,Documento pendiente de revisión
DOC-SIN-000012-02,SIN-000012,factura,False,False,2026-09-26,True,Documento pendiente de revisión
DOC-SIN-000013-01,SIN-000013,denuncia,True,True,2021-07-05,False,
DOC-SIN-000013-02,SIN-000013,factura,True,True,2021-07-05,False,
DOC-SIN-000013-03,SIN-000013,informe_tecnico,True,True,2021-07-05,False,
DOC-SIN-000016-01,SIN-000016,denuncia,True,True,2025-03-15,False,
DOC-SIN-000016-02,SIN-000016,factura,True,True,2025-03-15,False,
DOC-SIN-000016-03,SIN-000016,informe_tecnico,True,True,2025-03-15,False,
DOC-SIN-000022-01,SIN-000022,denuncia,True,True,2025-04-04,False,
DOC-SIN-000022-02,SIN-000022,factura,True,True,2025-04-04,False,
DOC-SIN-000022-03,SIN-000022,informe_tecnico,True,True,2025-04-04,False,
DOC-SIN-000023-01,SIN-000023,denuncia,True,True,2026-02-19,False,
DOC-SIN-000023-02,SIN-000023,factura,True,True,2026-02-19,False,
DOC-SIN-000023-03,SIN-000023,informe_tecnico,True,True,2026-02-19,False,
DOC-SIN-000027-01,SIN-000027,denuncia,True,False,2020-03-21,False,Documento pendiente de revisión
DOC-SIN-000027-02,SIN-000027,factura,False,False,2020-03-21,True,Documento pendiente de revisión
DOC-SIN-000028-01,SIN-000028,denuncia,True,False,2019-10-27,False,Documento pendiente de revisión
DOC-SIN-000028-02,SIN-000028,factura,False,False,2019-10-27,True,Documento pendiente de revisión
DOC-SIN-000034-01,SIN-000034,denuncia,True,True,2025-06-21,False,
DOC-SIN-000034-02,SIN-000034,factura,True,True,2025-06-21,False,
DOC-SIN-000034-03,SIN-000034,informe_tecnico,True,True,2025-06-21,False,
DOC-SIN-000038-01,SIN-000038,denuncia,True,True,2023-09-06,False,
DOC-SIN-000038-02,SIN-000038,factura,True,True,2023-09-06,False,
DOC-SIN-000038-03,SIN-000038,informe_tecnico,True,True,2023-09-06,False,
DOC-SIN-000042-01,SIN-000042,denuncia,True,False,2022-12-05,False,Documento pendiente de revisión
DOC-SIN-000042-02,SIN-000042,factura,False,False,2022-12-05,True,Documento pendiente de revisión
DOC-SIN-000043-01,SIN-000043,denuncia,True,False,2021-06-11,False,Documento pendiente de revisión
DOC-SIN-000043-02,SIN-000043,factura,False,False,2021-06-11,True,Documento pendiente de revisión
DOC-SIN-000046-01,SIN-000046,denuncia,True,True,2026-04-25,False,
DOC-SIN-000046-02,SIN-000046,factura,True,True,2026-04-25,False,
DOC-SIN-000046-03,SIN-000046,informe_tecnico,True,True,2026-04-25,False,
DOC-SIN-000051-01,SIN-000051,denuncia,True,True,2022-05-03,False,
DOC-SIN-000051-02,SIN-000051,factura,True,True,2022-05-03,False,
DOC-SIN-000051-03,SIN-000051,informe_tecnico,True,True,2022-05-03,False,
DOC-SIN-000052-01,SIN-000052,denuncia,True,False,2025-06-12,False,Documento pendiente de revisión
DOC-SIN-000052-02,SIN-000052,factura,False,False,2025-06-12,True,Documento pendiente de revisión
DOC-SIN-000054-01,SIN-000054,denuncia,True,True,2023-11-01,False,
DOC-SIN-000054-02,SIN-000054,factura,True,True,2023-11-01,False,
DOC-SIN-000054-03,SIN-000054,informe_tecnico,True,True,2023-11-01,False,
DOC-SIN-000057-01,SIN-000057,denuncia,True,False,2026-11-07,False,Documento pendiente de revisión
DOC-SIN-000057-02,SIN-000057,factura,False,False,2026-11-07,True,Documento pendiente de revisión
DOC-SIN-000059-01,SIN-000059,denuncia,True,True,2024-07-18,False,
DOC-SIN-000059-02,SIN-000059,factura,True,True,2024-07-18,False,
DOC-SIN-000059-03,SIN-000059,informe_tecnico,True,True,2024-07-18,False,
DOC-SIN-000065-01,SIN-000065,denuncia,True,True,2022-08-27,False,
DOC-SIN-000065-02,SIN-000065,factura,True,True,2022-08-27,False,
DOC-SIN-000065-03,SIN-000065,informe_tecnico,True,True,2022-08-27,False,
DOC-SIN-000067-01,SIN-000067,denuncia,True,True,2019-11-03,False,
DOC-SIN-000067-02,SIN-000067,factura,True,True,2019-11-03,False,
DOC-SIN-000067-03,SIN-000067,informe_tecnico,True,True,2019-11-03,False,
DOC-SIN-000071-01,SIN-000071,denuncia,True,True,2026-08-09,False,
DOC-SIN-000071-02,SIN-000071,factura,True,True,2026-08-09,False,
DOC-SIN-000071-03,SIN-000071,informe_tecnico,True,True,2026-08-09,False,
DOC-SIN-000072-01,SIN-000072,denuncia,True,True,2025-06-14,False,
DOC-SIN-000072-02,SIN-000072,factura,True,True,2025-06-14,False,
DOC-SIN-000072-03,SIN-000072,informe_tecnico,True,True,2025-06-14,False,
DOC-SIN-000080-01,SIN-000080,denuncia,True,True,2026-03-27,False,
DOC-SIN-000080-02,SIN-000080,factura,True,True,2026-03-27,False,
DOC-SIN-000080-03,SIN-000080,informe_tecnico,True,True,2026-03-27,False,
DOC-SIN-000088-01,SIN-000088,denuncia,True,True,2026-07-16,False,
DOC-SIN-000088-02,SIN-000088,factura,True,True,2026-07-16,False,
DOC-SIN-000088-03,SIN-000088,informe_tecnico,True,True,2026-07-16,False,
DOC-SIN-000101-01,SIN-000101,denuncia,True,True,2025-05-31,False,
DOC-SIN-000101-02,SIN-000101,factura,True,True,2025-05-31,False,
DOC-SIN-000101-03,SIN-000101,informe_tecnico,True,True,2025-05-31,False,
DOC-SIN-000109-01,SIN-000109,denuncia,True,False,2020-02-28,False,Documento pendiente de revisión
DOC-SIN-000109-02,SIN-000109,factura,False,False,2020-02-28,True,Documento pendiente de revisión
DOC-SIN-000115-01,SIN-000115,denuncia,True,True,2025-07-15,False,
DOC-SIN-000115-02,SIN-000115,factura,True,True,2025-07-15,False,
DOC-SIN-000115-03,SIN-000115,informe_tecnico,True,True,2025-07-15,False,
DOC-SIN-000118-01,SIN-000118,denuncia,True,False,2024-11-06,False,Documento pendiente de revisión
DOC-SIN-000118-02,SIN-000118,factura,False,False,2024-11-06,True,Documento pendiente de revisión
DOC-SIN-000119-01,SIN-000119,denuncia,True,True,2023-10-20,False,
DOC-SIN-000119-02,SIN-000119,factura,True,True,2023-10-20,False,
DOC-SIN-000119-03,SIN-000119,informe_tecnico,True,True,2023-10-20,False,
DOC-SIN-000124-01,SIN-000124,denuncia,True,False,2026-03-03,False,Documento pendiente de revisión
DOC-SIN-000124-02,SIN-000124,factura,False,False,2026-03-03,True,Documento pendiente de revisión
DOC-SIN-000126-01,SIN-000126,denuncia,True,True,2022-11-21,False,
DOC-SIN-000126-02,SIN-000126,factura,True,True,2022-11-21,False,
DOC-SIN-000126-03,SIN-000126,informe_tecnico,True,True,2022-11-21,False,
DOC-SIN-000128-01,SIN-000128,denuncia,True,False,2025-07-25,False,Documento pendiente de revisión
DOC-SIN-000128-02,SIN-000128,factura,False,False,2025-07-25,True,Documento pendiente de revisión
DOC-SIN-000131-01,SIN-000131,denuncia,True,True,2024-10-10,False,
DOC-SIN-000131-02,SIN-000131,factura,True,True,2024-10-10,False,
DOC-SIN-000131-03,SIN-000131,informe_tecnico,True,True,2024-10-10,False,
DOC-SIN-000135-01,SIN-000135,denuncia,True,False,2023-06-02,False,Documento pendiente de revisión
DOC-SIN-000135-02,SIN-000135,factura,False,False,2023-06-02,True,Documento pendiente de revisión
DOC-SIN-000150-01,SIN-000150,denuncia,True,False,2024-04-04,False,Documento pendiente de revisión
DOC-SIN-000150-02,SIN-000150,factura,False,False,2024-04-04,True,Documento pendiente de revisión
DOC-SIN-000153-01,SIN-000153,denuncia,True,True,2026-08-25,False,
DOC-SIN-000153-02,SIN-000153,factura,True,True,2026-08-25,False,
DOC-SIN-000153-03,SIN-000153,informe_tecnico,True,True,2026-08-25,False,
DOC-SIN-000155-01,SIN-000155,denuncia,True,True,2020-07-14,False,
DOC-SIN-000155-02,SIN-000155,factura,True,True,2020-07-14,False,
DOC-SIN-000155-03,SIN-000155,informe_tecnico,True,True,2020-07-14,False,
DOC-SIN-000161-01,SIN-000161,denuncia,True,True,2023-03-30,False,
DOC-SIN-000161-02,SIN-000161,factura,True,True,2023-03-30,False,
DOC-SIN-000161-03,SIN-000161,informe_tecnico,True,True,2023-03-30,False,
DOC-SIN-000163-01,SIN-000163,denuncia,True,False,2019-11-03,False,Documento pendiente de revisión
DOC-SIN-000163-02,SIN-000163,factura,False,False,2019-11-03,True,Documento pendiente de revisión
DOC-SIN-000168-01,SIN-000168,denuncia,True,True,2019-09-12,False,
DOC-SIN-000168-02,SIN-000168,factura,True,True,2019-09-12,False,
DOC-SIN-000168-03,SIN-000168,informe_tecnico,True,True,2019-09-12,False,
DOC-SIN-000173-01,SIN-000173,denuncia,True,True,2019-06-30,False,
DOC-SIN-000173-02,SIN-000173,factura,True,True,2019-06-30,False,
DOC-SIN-000173-03,SIN-000173,informe_tecnico,True,True,2019-06-30,False,
DOC-SIN-000175-01,SIN-000175,denuncia,True,True,2020-08-03,False,
DOC-SIN-000175-02,SIN-000175,factura,True,True,2020-08-03,False,
DOC-SIN-000175-03,SIN-000175,informe_tecnico,True,True,2020-08-03,False,
DOC-SIN-000177-01,SIN-000177,denuncia,True,False,2021-10-10,False,Documento pendiente de revisión
DOC-SIN-000177-02,SIN-000177,factura,False,False,2021-10-10,True,Documento pendiente de revisión
DOC-SIN-000183-01,SIN-000183,denuncia,True,True,2025-05-09,False,
DOC-SIN-000183-02,SIN-000183,factura,True,True,2025-05-09,False,
DOC-SIN-000183-03,SIN-000183,informe_tecnico,True,True,2025-05-09,False,
DOC-SIN-000187-01,SIN-000187,denuncia,True,False,2026-09-17,False,Documento pendiente de revisión
DOC-SIN-000187-02,SIN-000187,factura,False,False,2026-09-17,True,Documento pendiente de revisión
DOC-SIN-000188-01,SIN-000188,denuncia,True,True,2022-07-05,False,
DOC-SIN-000188-02,SIN-000188,factura,True,True,2022-07-05,False,
DOC-SIN-000188-03,SIN-000188,informe_tecnico,True,True,2022-07-05,False,
DOC-SIN-000190-01,SIN-000190,denuncia,True,False,2026-03-16,False,Documento pendiente de revisión
DOC-SIN-000190-02,SIN-000190,factura,False,False,2026-03-16,True,Documento pendiente de revisión
DOC-SIN-000192-01,SIN-000192,denuncia,True,True,2025-08-11,False,
DOC-SIN-000192-02,SIN-000192,factura,True,True,2025-08-11,False,
DOC-SIN-000192-03,SIN-000192,informe_tecnico,True,True,2025-08-11,False,
DOC-SIN-000193-01,SIN-000193,denuncia,True,True,2022-06-13,False,
