year_month,provincia,servicio,subtipo,total_eventos
2021-07,GUAYAS,SEGURIDAD CIUDADANA,LIBADORES,8682
2021-07,GUAYAS,SEGURIDAD CIUDADANA,ESCÁNDALO EN ESPACIO PRIVADO,3255
2021-07,GUAYAS,SEGURIDAD CIUDADANA,PATRULLAJE POLICIAL EN EL SECTOR SOLICITADO,18971
2021-07,GUAYAS,SEGURIDAD CIUDADANA,PRESENCIA POLICIAL,2654
2021-07,SANTA ELENA,SEGURIDAD CIUDADANA,PATRULLAJE POLICIAL EN EL SECTOR SOLICITADO,1678
2021-07,GUAYAS,SEGURIDAD CIUDADANA,ESCÁNDALO EN ESPACIO PÚBLICO,3399
2021-07,GUAYAS,GESTIÓN SANITARIA,PROBLEMAS RESPIRATORIOS / DIFICULTAD RESPIRATORIA,485
2021-07,GUAYAS,TRÁNSITO Y MOVILIDAD,SERVICIOS,468
2021-07,SANTA ELENA,SEGURIDAD CIUDADANA,FIESTAS EN VIVIENDA,51
2021-07,GUAYAS,SEGURIDAD CIUDADANA,FICHA DE DATOS,582
2021-07,SANTA ELENA,SEGURIDAD CIUDADANA,VIOLENCIA INTRAFAMILIAR,174
2021-07,GUAYAS,SEGURIDAD CIUDADANA,CUSTODIA POLICIAL EN LUGARES DE RIESGO TEMPORAL,890
2021-07,GUAYAS,SEGURIDAD CIUDADANA,VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR PSICOLÓGICA,1836
2021-07,GUAYAS,SEGURIDAD CIUDADANA,CONSUMO DE SUSTANCIAS SUJETAS A FISCALIZACIÓN,3993
2021-07,GUAYAS,SEGURIDAD CIUDADANA,EXTRAVIADO,97
2021-07,GUAYAS,SEGURIDAD CIUDADANA,AGRESIÓN FÍSICA,89
2021-07,GUAYAS,SEGURIDAD CIUDADANA,AGRESIÓN VERBAL,678
2021-07,GUAYAS,SEGURIDAD CIUDADANA,RESGUARDO A PERSONAS QUE TRASLADA VALORES A NIVEL LOCAL,1755
2021-07,GUAYAS,GESTIÓN SANITARIA,ESPII,4
2021-07,SANTA ELENA,GESTIÓN SANITARIA,ALERGIAS / ANAFILAXIS,2
2021-07,GUAYAS,SEGURIDAD CIUDADANA,VIOLENCIA INTRAFAMILIAR,1212
2021-07,SANTA ELENA,SEGURIDAD CIUDADANA,LIBADORES,282
2021-07,GUAYAS,GESTIÓN SANITARIA,HIPERTENSIÓN,159
2021-07,GUAYAS,SEGURIDAD CIUDADANA,TENENCIA ILÍCITA DE SUSTANCIAS SUJETAS A FISCALIZACIÓN,1026
2021-07,GUAYAS,GESTIÓN SANITARIA,TRANSPORTE SECUNDARIO,808
2021-07,GUAYAS,GESTIÓN SANITARIA,SANGRADO VAGINAL / METRORRAGIA,21
2021-07,GUAYAS,GESTIÓN SANITARIA,HERIDAS / LESIONES MÚLTIPLES,303
2021-07,GUAYAS,SEGURIDAD CIUDADANA,ESCÁNDALO,551
2021-07,GUAYAS,GESTIÓN SANITARIA,TRAUMATISMOS / LESIONES / CAÍDAS,116
2021-07,GUAYAS,GESTIÓN SANITARIA,MAL ESTADO GENERAL,481
2021-07,SANTA ELENA,GESTIÓN SANITARIA,CAÍDA,36
2021-07,GUAYAS,SEGURIDAD CIUDADANA,PERSONA ARMADA,120
2021-07,GUAYAS,GESTIÓN DE SINIESTROS,CONATO,55
2021-07,GUAYAS,TRÁNSITO Y MOVILIDAD,ACCIDENTE DE TRÁNSITO SIN HERIDOS,418
2021-07,GUAYAS,GESTIÓN SANITARIA,PROBLEMAS DIGESTIVOS,353
2021-07,GUAYAS,GESTIÓN DE SINIESTROS,VIVIENDA,5
2021-07,SANTA ELENA,SEGURIDAD CIUDADANA,ESCÁNDALO EN ESPACIO PRIVADO,171
