dataset_key,year,col_idx,cells_total,rows_distintos,numeric_ratio,unique_values_capped,top_values_json
2008/Formanto CSV/2008_VehículosMatriculadosBDD.csv,2008,1,918909,50000,0.0,25,"[{""value"": ""PICHINCHA"", ""count"": 264967}, {""value"": ""GUAYAS"", ""count"": 216180}, {""value"": ""AZUAY"", ""count"": 76638}, {""value"": ""MANABÍ"", ""count"": 58217}, {""value"": ""TUNGURAHUA"", ""count"": 48049}, {""value"": ""LOS RÍOS"", ""count"": 40946}, {""value"": ""EL ORO"", ""count"": 27259}, {""value"": ""SANTO DOMINGO DE LOS TSÁCHILAS"", ""count"": 25914}, {""value"": ""IMBABURA"", ""count"": 25701}, {""value"": ""COTOPAXI"", ""count"": 24198}]"
2008/Formanto CSV/2008_VehículosMatriculadosBDD.csv,2008,2,918909,50000,0.0,13,"[{""value"": ""Automóvil"", ""count"": 336281}, {""value"": ""Camioneta"", ""count"": 237524}, {""value"": ""Jeep"", ""count"": 117365}, {""value"": ""Motocicleta"", ""count"": 85918}, {""value"": ""Camión"", ""count"": 53067}, {""value"": ""Furgoneta P"", ""count"": 46272}, {""value"": ""Furgoneta C"", ""count"": 17125}, {""value"": ""Autobus"", ""count"": 7837}, {""value"": ""Volqueta"", ""count"": 7668}, {""value"": ""Trailer"", ""count"": 4700}]"
2008/Formanto CSV/2008_VehículosMatriculadosBDD.csv,2008,3,918909,50000,0.0,5,"[{""value"": ""Gasolina"", ""count"": 817277}, {""value"": ""Diesel"", ""count"": 101329}, {""value"": ""Gas liquado de petróleo"", ""count"": 290}, {""value"": ""Eléctrico"", ""count"": 12}, {""value"": ""COMBUSTIBLE"", ""count"": 1}]"
2008/Formanto CSV/2008_VehículosMatriculadosBDD.csv,2008,4,918909,50000,0.0,119,"[{""value"": ""CHEVROLET"", ""count"": 296467}, {""value"": ""TOYOTA"", ""count"": 80526}, {""value"": ""MAZDA"", ""count"": 61557}, {""value"": ""HYUNDAI"", ""count"": 49910}, {""value"": ""NISSAN"", ""count"": 49384}, {""value"": ""FORD"", ""count"": 46697}, {""value"": ""SUZUKI"", ""count"": 46374}, {""value"": ""MITSUBISHI"", ""count"": 28757}, {""value"": ""VOLKSWAGEN"", ""count"": 28283}, {""value"": ""KIA"", ""count"": 20323}]"
2008/Formanto CSV/2008_VehículosMatriculadosBDD.csv,2008,5,918909,50000,0.0,7,"[{""value"": ""PARTICULAR"", ""count"": 873725}, {""value"": ""ALQUILER"", ""count"": 35738}, {""value"": ""ESTADO"", ""count"": 6800}, {""value"": ""MUNNICIPIO"", ""count"": 2453}, {""value"": ""OTROS"", ""count"": 156}, {""value"": ""SECTORES SECCIONALES"", ""count"": 36}, {""value"": ""SERVICIO"", ""count"": 1}]"
2008/Formanto CSV/2008_VehículosMatriculadosBDD.csv,2008,6,918909,50000,0.450048,8,"[{""value"": ""2003 Y ANTERIORES"", ""count"": 505355}, {""value"": ""2008"", ""count"": 99502}, {""value"": ""2007"", ""count"": 87157}, {""value"": ""2006"", ""count"": 74894}, {""value"": ""2005"", ""count"": 59508}, {""value"": ""2009"", ""count"": 47119}, {""value"": ""2004"", ""count"": 45373}, {""value"": ""MODELO"", ""count"": 1}]"
2008/Formanto CSV/2008_VehículosMatriculadosBDD.csv,2008,7,918909,50000,0.999999,409,"[{""value"": "".75"", ""count"": 504721}, {""value"": ""1"", ""count"": 120863}, {""value"": "".25"", ""count"": 81316}, {""value"": "".5"", ""count"": 65241}, {""value"": ""2"", ""count"": 39970}, {""value"": ""1.5"", ""count"": 12163}, {""value"": ""6"", ""count"": 11231}, {""value"": ""2.8"", ""count"": 8781}, {""value"": ""3.5"", ""count"": 8534}, {""value"": ""5"", ""count"": 6901}]"
2008/Formanto CSV/2008_VehículosMatriculadosBDD.csv,2008,8,918909,50000,0.999999,68,"[{""value"": ""5"", ""count"": 560352}, {""value"": ""2"", ""count"": 177318}, {""value"": ""1"", ""count"": 85548}, {""value"": ""3"", ""count"": 49268}, {""value"": ""8"", ""count"": 10255}, {""value"": ""10"", ""count"": 10036}, {""value"": ""7"", ""count"": 9069}, {""value"": ""4"", ""count"": 5677}, {""value"": ""6"", ""count"": 2617}, {""value"": ""40"", ""count"": 2172}]"
2008/Formanto CSV/2008_VehículosMatriculadosBDD.csv,2008,9,918909,50000,0.0,6,"[{""value"": ""1/4 A 3"", ""count"": 852048}, {""value"": ""3 1/4 A 6"", ""count"": 35331}, {""value"": ""6 1/4 A 10"", ""count"": 15312}, {""value"": ""15 1/4 Y MÁS"", ""count"": 8546}, {""value"": ""10 1/4 A 15"", ""count"": 7671}, {""value"": ""ESTRATONE"", ""count"": 1}]"
2008/Formanto CSV/2008_VehículosMatriculadosBDD.csv,2008,10,918909,50000,0.0,6,"[{""value"": ""1 A 10"", ""count"": 910579}, {""value"": ""31 A 40"", ""count"": 3715}, {""value"": ""41 Y MÁS"", ""count"": 3096}, {""value"": ""21 A 30"", ""count"": 855}, {""value"": ""11 A 20"", ""count"": 663}, {""value"": ""ESTRASIENTOS"", ""count"": 1}]"
