year_query,query_type,search_term,supplier_ruc,ocid,id,year,month,method,internal_type,locality,region,suppliers,buyer,amount,date,title,description,budget
2019,thematic,seguro,,ocds-5wno2w-001-LICBS-GADMB-2019-20973,1577758,2019,7,open,Licitación de Seguros,BABAHOYO,LOS RIOS,SEGUROS SUCRE S.A.,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON BABAHOYO - GADM DE BABAHOYO,68761.97,2019-07-22,001-LICBS-GADMB-2019-20973,"CONTRATACION DE POLIZA DE SEGURO CONTRA TODO TIPO DE RIESGO EN EL RAMO DE VEHICULOS Y EQUIPO MAQUINARIAS PARA SER UTILIZADOS EN LOS VEHICULOS LIVIANOS, PESADOS Y EQUIPO MAQUINARIAS DEL GADMB",85512.92
2019,thematic,seguro,,ocds-5wno2w-ARE-CBSE-001-2019-222424,1577865,2019,2,direct,Contratos entre Entidades Públicas o sus subsidiarias,SANTA ELENA,SANTA ELENA,SEGUROS SUCRE S.A.,CUERPO DE BOMBEROS DE SANTA ELENA,3919.38,2019-02-26,ARE-CBSE-001-2019-222424,"RENOVACION DE POLIZA DE INCENDIOS Y LINEAS ALIADAS, SEGURO DE EQUIPOS ELECTRONICOS, SEGURO POR ROBOS DEL CUERPO DE BOMBEROS DE SANTA ELENA Y SUS COMPAÑIAS.",3919.38
2019,thematic,seguro,,ocds-5wno2w-15D02-002-2019-RE-534506,1577863,2019,12,direct,Contratos entre Entidades Públicas o sus subsidiarias,EL CHACO,NAPO,SEGUROS SUCRE S.A.,DIRECCION DISTRITAL 15D02 -ELCHACO-QUIJOS-EDUCACION,13114.63,2019-12-09,15D02-002-2019-RE-534506,CONTRATACIÓN DE LAS PÓLIZAS DE SEGUROS DE BIENES MUEBLES DE LAS 17 INSTITUCIONES EDUCATIVAS Y DIRECCIÓN DISTRITAL 15D02-EL CHACO-QUIJOS-EDUCACIÓN,13114.63
2019,thematic,seguro,,ocds-5wno2w-LICSEG-BIESS-01-2019-278089,1583402,2019,11,open,Licitación de Seguros,QUITO,PICHINCHA,SEGUROS ALIANZA S A,BANCO DEL INSTITUTO ECUATORIANO DE SEGURIDAD SOCIAL,53428.8,2019-11-05,LICSEG-BIESS-01-2019-278089,SEGURO VARIOS RAMOS PARA BIENES MUEBLES E INMUEBLES DEL BIESS,84761.89
2019,thematic,seguro,,ocds-5wno2w-LICSEG-BIESS-02-2019-278089,1583403,2019,12,open,Licitación de Seguros,QUITO,PICHINCHA,HISPANA DE SEGUROS S.A.,BANCO DEL INSTITUTO ECUATORIANO DE SEGURIDAD SOCIAL,132098.0,2019-12-23,LICSEG-BIESS-02-2019-278089,SEGURO GLOBAL BANCARIO,193666.0
2019,thematic,seguro,,ocds-5wno2w-CCPLCD-IESS-01-2019-176266,1578030,2019,5,open,Concurso Público por Lista Corta Desierta,,,VELEZ & VELEZ ENTERPRISE RISK MANAGEMENT S.A.,INSTITUTO ECUATORIANO DE SEGURIDAD SOCIAL,310000.0,2019-05-13,CCPLCD-IESS-01-2019-176266,"“CONSULTORÍA PARA EL ANÁLISIS, REVISIÓN Y APROBACIÓN DE LAS VALUACIONES ACTUARIALES DE LOS SEGUROS ADMINISTRADOS POR EL IESS”.",310000.0
2019,thematic,seguro,,ocds-5wno2w-0081-CPCBCO-2019-67609,1577822,2019,10,open,Licitación de Seguros,OTAVALO,IMBABURA,ASEGURADORA DEL SUR C. A.,CUERPO DE BOMBEROS DEL CANTÓN OTAVALO,49613.84,2019-10-07,0081-CPCBCO-2019-67609,"CONTRATACIÓN DE PÓLIZAS DE SEGUROS DE INCENDIO, ROBO Y ASALTO, EQUIPO ELECTRÓNICO, RESPONSABILIDAD CIVIL, FIDELIDAD, VEHÍCULOS, EQUIPO - MAQUINARIA Y ROTURA DE MAQUINARIA PARA AMPARAR LOS BIENES DEL CUERPO DE BOMBEROS DEL CANTON OTAVALO",57202.97
2019,thematic,seguro,,ocds-5wno2w-CCD-CNTEP-115103-19-236009,1577903,2019,8,direct,Contratacion directa,QUITO,PICHINCHA,MOREJON BAQUERO RUBEN ALEJANDRO,CORPORACION NACIONAL DE TELECOMUNICACIONES,45600.0,2019-08-27,CCD-CNTEP-115103-19-236009,"“PRESTACIÓN DE SERVICIOS ESPECIALIZADOS DE CONSULTORÍA PARA ELABORACIÓN DE LAS BASES Y RECOMENDACIÓN DE COBERTURAS APLICADAS EN TODOS LOS RAMOS QUE REQUIERE CONTRATAR LA CNT EP, PARA ASEGURAR LOS BIENES Y EL RECURSO HUMANO; PREVIO A LA CONTRATACIÓN DE SEGUROS“",48000.0
2019,thematic,seguro,,ocds-5wno2w-CDC-FSDPR-001-2019-772326,1579033,2019,12,direct,Contratacion directa,QUITO,PICHINCHA,ACEVEDO Y ASOCIADOS CIA LTDA.,FIDEICOMISO DEL SEGURO DE DEPOSITOS DE LAS ENTIDADES DEL SECTOR FINANCIERO PRIVADO,7600.0,2019-12-03,CDC-FSDPR-001-2019-772326,AUDITORIA EXTERNA PARA EVALUAR LOS ESTADOS FINANCIEROS DEL FIDEICOMISO DEL SEGURO DE DEPÓSITOS DE LAS ENTIDADES DEL SECTOR FINANCIERO PRIVADO DEL PERÍODO DE ENERO A DICIEMBRE DE 2019,7600.0
2019,thematic,seguro,,ocds-5wno2w-CDC-FDPyS-001-2019-772350,1578987,2019,12,direct,Contratacion directa,QUITO,PICHINCHA,ACEVEDO Y ASOCIADOS CIA LTDA.,FIDEICOMISO DEL SEGURO DE DEPOSITOS DE LAS ENTIDADES DEL SECTOR FINANCIERO POPULAR Y SOLIDARIO,7200.0,2019-12-03,CDC-FDPyS-001-2019-772350,AUDITORIA EXTERNA PARA EVALUAR LOS ESTADOS FINANCIEROS DEL FIDEICOMISO DEL SEGURO DE DEPÓSITOS DE LAS ENTIDADES DEL SECTOR FINANCIERO POPULAR Y SOLIDARIO DEL PERÍODO DE ENERO A DICIEMBRE DE 2019,7200.0
