id_poliza,id_asegurado,ramo,fecha_inicio,fecha_fin,prima,suma_asegurada,deducible,canal_venta,ciudad,estado_poliza
POL-00001,ASEG-003114,vehiculos,2025-05-22,2026-05-03,2485.64,62140.91,3107.05,directo,Guayaquil,vigente
POL-00002,ASEG-005639,hogar,2023-03-24,2024-03-27,378.26,9456.58,472.83,broker,Manta,vencida
POL-00003,ASEG-005298,hogar,2020-06-27,2021-05-22,1984.97,49624.31,2481.22,digital,Manta,suspendida
POL-00004,ASEG-004979,vehiculos,2025-11-14,2027-09-14,863.67,21591.83,1079.59,agencia,Guayaquil,mora
POL-00005,ASEG-009115,generales,2023-03-29,2023-09-14,588.76,14718.95,735.95,directo,Guayaquil,vigente
POL-00006,ASEG-011468,vehiculos,2023-02-11,2023-12-13,794.55,19863.74,993.19,broker,Quito,vencida
POL-00007,ASEG-006615,vehiculos,2018-08-20,2019-05-14,1481.2,37030.07,1851.5,digital,Quito,suspendida
POL-00008,ASEG-000698,vehiculos,2019-10-21,2021-02-12,541.09,13527.22,676.36,agencia,Quito,mora
POL-00009,ASEG-007706,vehiculos,2023-07-02,2025-01-25,1799.02,44975.6,2248.78,directo,Quito,vigente
POL-00010,ASEG-009903,vehiculos,2022-05-20,2023-11-02,2382.38,59559.48,2977.97,broker,Guayaquil,vencida
POL-00011,ASEG-011825,generales,2024-07-29,2025-05-12,275.12,6877.96,343.9,digital,Guayaquil,suspendida
POL-00012,ASEG-004478,vida,2024-01-07,2025-02-08,2113.68,52842.05,2642.1,agencia,Quito,mora
POL-00013,ASEG-005234,hogar,2019-07-05,2020-06-22,1596.05,39901.25,1995.06,directo,Manta,vigente
POL-00014,ASEG-008519,vehiculos,2024-12-22,2025-09-08,1423.7,35592.54,1779.63,broker,Guayaquil,vencida
POL-00015,ASEG-007382,vida,2024-09-30,2025-03-30,1719.59,42989.65,2149.48,digital,Quito,suspendida
POL-00016,ASEG-000698,salud,2024-06-09,2025-06-03,42.44,1060.91,53.05,agencia,Cuenca,mora
POL-00017,ASEG-008411,salud,2019-08-04,2020-11-27,2282.1,57052.57,2852.63,directo,Cuenca,vigente
